Nome;Descrizione;Prezzo;Colore;Azienda;Sede;Immagine;Rimasti
AeroBuds Pro;Auricolari wireless con cancellazione attiva del rumore;€149;Bianco;SoundWave Inc.;San Francisco, USA;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB9I8ZkkgeGyAAaAnna3jSbnYR7-zxlWtLmw&s;3
PixelView 4K;Monitor da 27 pollici ideale per grafici;€349;Nero;VisionTech SpA;Milano, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTka7gikGQ9jQLY43lwyssJRE3NWtnKlBGYLA&s;8
ChargeMax 10k;Power bank compatto da 10.000 mAh ad alta velocità;€29;Grigio spaziale;VoltCorp;Shenzhen, Cina;https://www.juice.it/media/catalog/product/cache/6c3abf5fa56b608dfeb90f81a2b56017/j/u/juicettpbalus10k.jpg;5
NovaBook 14;Laptop ultra sottile per studenti e professionisti;€899;Argento;Nova Computers;Seul, Corea del Sud;https://data.clickforshop.it/imgprodotto/hp-envy-13-ad006nl-colore-argento-naturale-notebook-windows-10-home_208985_zoom.jpg;6
Apex Mouse;Mouse ergonomico verticale per ridurre l'affaticamento;€59;Antracite;ErgoDesign;Zurigo, Svizzera;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSryc4tqMSMIng_-oSz-_5O6XjD2LZhs1glQ&s;10
HomeHub Mini;Assistente vocale smart per il controllo domestico;€49;Grigio chiaro;OmniConnect;Londra, Regno Unito;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdbPFaT8szCTIMST_7sRPWv6gmQ0iVkIfq2A&s;10
GamerPad X;Controller wireless per PC e console;€69;Rosso fuoco;CoreGaming;Tokyo, Giappone;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPcFYk7siI1NXCLjg4fL-qsCQIq664LCjdtw&s;7
CronoWatch 2;Smartwatch sportivo con monitoraggio cardio e GPS;€199;Blu notte;Cronos Wearables;Monaco di Baviera, Germania;https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MP_164289302/fee_786_587_png;9
StreamMic;Microfono USB a condensatore per podcast e streaming;€85;Nero opaco;AudioPure;Sydney, Australia;https://m.media-amazon.com/images/I/51A3zD7kKpS._AC_UF350,350_QL50_.jpg;3
SecurCam Outdoor;Telecamera di sicurezza wireless a energia solare;€119;Bianco;SafeHome Labs;Austin, USA;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBZuCUiSFGWStkM7KR7ci0OOXgOrscRGWlkA&s;4
Lumia Lamp;Lampada da tavolo di design a LED dimmerabile;€45;Oro spazzolato;LuxArt Lighting;Firenze, Italia;https://cdn.lampenlicht.nl/m/catalog/product/1/1/2760_110280_5.jpg?profile=product_page_image_large;10
ComfySit;Sedia da ufficio ergonomica con supporto lombare;€189;Nero;SediaComfort Srl;Bologna, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_EmLjJOVE6JwqTJhAaxmlkmUBaOq8768sQA&s;8
SoftSleep;Cuscino in memory foam traspirante ed anallergico;€39;Bianco;NottiD'Oro;Lione, Francia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpG7rQgPHR9Nlhp6p3uenZgXiPme-r6MZ9Qg&s;10
EcoBlanket;Coperta matrimoniale in caldo cotone biologico;€65;Beige;GreenWeave;Porto, Portogallo;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH4dlcRCuBbb-akJSQQvvU9gvfR6jLv9JAmQ&s;10
PureAir 300;Purificatore d'aria con filtro HEPA per allergie;€159;Bianco opaco;CleanAir Co.;Stoccolma, Svezia;https://cdn.manomano.com/proscenic-a9-purificatore-daria-controllo-tramite-app-prestazioni-del-filtro-9997-filtro-hepa-13-cadr-460m-h-fino-a-90m-per-appartamenti-grandi-per-fumatori-allergie-alla-polvere-pollin-P-6548799-135755568_1.jpg;7
ThermoCup;Tazza termica da viaggio in acciaio inossidabile;€24;Verde salvia;HydroFlask Inc.;Bend, USA;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeUb20JNWvGcmcv4fkWmgEZMBOHaSAv1XmDw&s;9
ChefKnife Pro;Cololtello da cucina in acciaio forgiato giapponese;€79;Nero e acciaio;Kiku Cutlery;Seki, Giappone;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqKDbBfuGpGoMiUQ4oDgGLgduVqv-zfV5OYQ&s;4
OrganizeIt;Set di 3 scatole organizer in tessuto per armadi;€19;Grigio melange;NeatHome;Amsterdam, Paesi Bassi;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZY-jj7ziYyGHgOpJfiLml1a3u5fGPoNeTCw&s;2
BambooMat;Tappeto da bagno antimicrobico in legno di bambù;€28;Legno naturale;EcoBath;Bali, Indonesia;https://m.media-amazon.com/images/I/71s0kVOi3zL._AC_UF894,1000_QL80_.jpg;10
AromaDiffuser;Diffusore di oli essenziali con luce d'atmosfera;€34;Legno chiaro;ZenVibe;Kyoto, Giappone;https://m.media-amazon.com/images/I/71P3dwYTtWL._AC_UF894,1000_QL80_.jpg;8
UrbanWalker;Scarpe da ginnastica leggere per camminate urbane;€89;Grigio;FootFlex;Barcellona, Spagna;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqgOzwchx-vtW4kjtTl2ImyMw7_9-qyhTDqQ&s;5
DryBackpack;Zaino impermeabile per computer e pendolari;€75;Giallo senape;TrailPack;Oslo, Norvegia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSayfTPqdsh5SWEnYPk2z-N8nTC7FFtxHxERQ&s;10
SunBlocker;Occhiali da sole polarizzati con montatura classica;€120;Tartarugato;OtticaModa;Belluno, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwfmdpzqR6iMUVCJL__Aq2bjUj6Y7BmdG4SA&s;6
WarmFit;Giacca trapuntata invernale in piuma sintetica;€140;Blu scuro;NordVest;Copenaghen, Danimarca;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuXx4paxTb2QUtEwMfWjk_C41iLSlW0r-7Fg&s;9
FlexLeggings;Leggings sportivi a vita alta senza cuciture;€45;Viola prugna;FitForm;Montreal, Canada;https://img01.ztat.net/article/spp-media-p1/231f19f4bbe049a0a71364ca364c9fb8/27040cba57474d218abb56d638932e86.jpg?imwidth=1800;1
LeatherFold;Portafoglio sottile in vera pelle con protezione RFID;€49;Marrone testa di moro;CuoioNobile;Pisa, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT1LASs4wb4MrJ7CimpVA7Jqi9iyjU6nTSsA&s;6
TimeClassic;Orologio da polso analogico con cinturino in pelle;€165;Quadrante nero;Tempus;Ginevra, Svizzera;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm6FSAyY413mU_k2RNVrYCSo5ZOyX3POs4DQ&s;7
RainCoat;Impermeabile leggero ripiegabile con cappuccio;€55;Verde militare;WeatherShield;Manchester, Regno Unito;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-faG78PzfkR5rBgwZ_aEZXoYjSmWI83VTJQ&s;3
GymBag 30L;Borsone sportivo con scomparto separato per scarpe;€34;Nero e rosso;ActiveLife;Boston, USA;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0HO-7vs1mVP72dgFuUSl4LLgALl8MkWJYBw&s;7
SilkScarf;Sciarpa elegante in 100% pura seta stampata;€80;Fantasia floreale;SetaViva;Como, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtJYdviGOahLpkmT52dZSNB4bTA7WceJQsmg&s;1
GlowSerum;Siero viso idratante all'acido ialuronico;€28;Trasparente;BioEstetica;Parigi, Francia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLovNBf7acuhaVn9QISZpzQbtM2X0ERYIwXA&s;2
SonicBrush;Spazzolino da denti elettrico sonico ricaricabile;€69;Rosa pastello;DentalCare Labs;Eindhoven, Paesi Bassi;https://m.media-amazon.com/images/I/61jXOQTdn3L._AC_UF1000,1000_QL80_.jpg;9
ArganOil;Olio di Argan puro per capelli e corpo;€22;Ambra;MarocPure;Casablanca, Marocco;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdAEy5uUrqKsxz5N_MzXD3psVzP-ZW-cYraw&s;8
BeardGroom;Kit per la cura della barba con olio e pettine;€35;Marrone legno;Barbieri Moderni;Torino, Italia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDULItEJ6bKNRKbPOUFFBaxnSfjfXPPKLPDA&s;8
EcoSoap;Set di 4 saponette artigianali biodegradabili;€15;Assortiti;NaturaSana;Grasse, Francia;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBOyaKovX9KezUOuewGQRva4RDZCzzPrUkoQ&s;3
